quarter,experimental,experimental_se,surrogate_index,surrogate_index_se,naive,naive_se,single_surrogate,single_surrogate_se,upper_experimental,lower_experimental,upper_surrogate_index,lower_surrogate_index,upper_naive,lower_naive
23,0.062003890034059005,0.010594209252404934,0.07413110580730457,0.010124075379172011,0.09148903441372376,0.010854652980067,0.0297911781947702,0.008257237966849454,0.08277277699163094,0.04123500307648707,0.09397834235799186,0.05428386925661728,0.1127684952338418,0.07020957359360572
24,0.062003890034059005,0.010594209252404934,0.07372209276346403,0.010207843945080817,0.08963035519624088,0.01082252654356498,0.023811830332808013,0.008058891013770764,0.08277277699163094,0.04123500307648707,0.09373354920395226,0.053710636322975805,0.11084683535285082,0.06841387503963094
25,0.062003890034059005,0.010594209252404934,0.07270148581819237,0.010273750941674455,0.0876169561992422,0.010799002492141312,0.020183309546634855,0.008148627233381838,0.08277277699163094,0.04123500307648707,0.09284214632944743,0.052560825306937314,0.10878731980735266,0.06644659259113174
26,0.062003890034059005,0.010594209252404934,0.06860723207181216,0.010351509476804535,0.08456937676997392,0.01076795829404159,0.004231147826965213,0.007985888008782681,0.08277277699163094,0.04123500307648707,0.08890033040901787,0.04831413373460644,0.10567888133465221,0.06345987220529563
27,0.062003890034059005,0.010594209252404934,0.06753477505462512,0.010406356792217658,0.0816936208200982,0.010732005302316088,0.0034203180726011316,0.00784650389556125,0.08277277699163094,0.04123500307648707,0.08793539606451005,0.04713415404474018,0.10273264314271921,0.060654598497477195
28,0.062003890034059005,0.010594209252404934,0.06534958234898099,0.010444516327448111,0.07878908826896545,0.01070785753001354,0.0001830873238268502,0.007947699002200383,0.08277277699163094,0.04123500307648707,0.08582501130863102,0.04487415338933096,0.0997807713007267,0.05779740523720421
29,0.062003890034059005,0.010594209252404934,0.06447349412620615,0.010474316754615423,0.0763188080487757,0.010692409530126777,0.0036578322363426483,0.008126345535778755,0.08277277699163094,0.04123500307648707,0.08500734384085351,0.04393964441155879,0.09728020682281417,0.055357409274737215
30,0.062003890034059005,0.010594209252404934,0.06335597995188674,0.010510887623132499,0.07365086254378328,0.010671803104675947,-0.0018645657067277177,0.007955910106315538,0.08277277699163094,0.04123500307648707,0.08396152319420337,0.042750436709570114,0.09457186448304235,0.05272986060452421
31,0.062003890034059005,0.010594209252404934,0.06471596694487412,0.010530079600608856,0.07187273737632324,0.01065162870047397,0.009069035249306783,0.00777889470208523,0.08277277699163094,0.04123500307648707,0.08535913413827595,0.044072799751472304,0.09275418941522404,0.05099128533742244
32,0.062003890034059005,0.010594209252404934,0.06279589042340852,0.0105542959720336,0.06954509735440594,0.01063773216885372,-0.0012643505226491672,0.007748833830433511,0.08277277699163094,0.04123500307648707,0.0834865313893837,0.04210524945743336,0.09039930663384757,0.0486908880749643
33,0.062003890034059005,0.010594209252404934,0.0629802520157279,0.010567995124037095,0.06756086860713852,0.010622995004420812,0.0019276024391612588,0.007586885581917272,0.08277277699163094,0.04123500307648707,0.08369774879817758,0.04226275523327823,0.08838618715062337,0.046735550063653666
34,0.062003890034059005,0.010594209252404934,0.061630205608784815,0.010582434066701283,0.06526520069091572,0.010612543612816928,-0.004827497478375157,0.007443144982715198,0.08277277699163094,0.04123500307648707,0.08237600849326011,0.040884402724309515,0.08607003032714955,0.044460371054681896
35,0.062003890034059005,0.010594209252404934,0.06238536045298246,0.010591170128576632,0.06388825185528624,0.010602754067071247,0.007601111120713877,0.007202995468521024,0.08277277699163094,0.04123500307648707,0.08314828951244833,0.04162243139351658,0.08467389006683569,0.043102613643736784
36,0.062003890034059005,0.010594209252404934,0.06200389024181358,0.01059420925049567,0.062003890034059005,0.010594209252404934,-0.001699802153855975,0.007017100647085308,0.08277277699163094,0.04123500307648707,0.08277277719564259,0.04123500328798457,0.08277277699163094,0.04123500307648707
